leiden,036 Orange - MSA,044 Blue - Control,065 Yellow - MSA,087 Green - Control,093 Green - Control,096 Blue - Control,140 Yellow - MSA
0,0.046063651591289785,0.4109436069235064,0.04215522054718034,0.11557788944723618,0.19290898939140144,0.028196538246789502,0.16415410385259632
1,0.0555956678700361,0.3855595667870036,0.08844765342960288,0.04693140794223827,0.19097472924187725,0.07725631768953069,0.1552346570397112
2,0.0436046511627907,0.1511627906976744,0.061046511627906974,0.18895348837209303,0.2703488372093023,0.014534883720930232,0.2703488372093023
3,0.30434782608695654,0.08695652173913043,0.13043478260869565,0.30434782608695654,0.15217391304347827,0.0,0.021739130434782608
4,0.21951219512195122,0.04878048780487805,0.0975609756097561,0.17073170731707318,0.0975609756097561,0.12195121951219512,0.24390243902439024
